claim_id,cohort,region,line,complexity,fnol_channel,days_to_settle,status_chase_calls,ces_1_to_7,csat_1_to_5,handling_cost_eur,renewal_intent_pct
CLM-0001,pre,north,motor,simple,phone,21,3,4.6,3.0,35,74
CLM-0002,pre,north,motor,simple,phone,24,4,5.1,2.6,38,69
CLM-0003,pre,south,home,moderate,phone,31,5,5.4,2.4,42,61
CLM-0004,pre,north,motor,simple,web_form,19,2,4.1,3.2,22,79
CLM-0005,pre,south,motor,moderate,broker,27,4,4.9,2.8,28,70
CLM-0006,pre,north,home,complex,phone,58,8,6.2,1.9,61,44
CLM-0007,pre,south,motor,simple,phone,22,3,4.7,2.9,36,73
CLM-0008,pre,north,fleet,moderate,broker,29,4,4.8,2.9,29,71
CLM-0009,pre,south,home,moderate,web_form,28,3,4.4,3.1,24,72
CLM-0010,pre,north,motor,simple,phone,25,5,5.2,2.5,39,66
CLM-0011,pre,south,motor,simple,phone,20,3,4.5,3.1,34,75
CLM-0012,pre,north,home,complex,phone,63,9,6.4,1.7,64,41
CLM-0013,control,north,motor,simple,phone,22,4,4.8,2.9,36,72
CLM-0014,control,south,motor,simple,phone,24,4,5.0,2.7,38,68
CLM-0015,control,north,home,moderate,phone,33,5,5.3,2.5,43,60
CLM-0016,control,south,motor,simple,web_form,20,3,4.3,3.1,23,77
CLM-0017,control,north,fleet,moderate,broker,30,4,4.9,2.8,30,69
CLM-0018,control,south,home,complex,phone,60,8,6.1,2.0,62,46
CLM-0019,control,north,motor,simple,phone,23,4,4.7,2.9,35,73
CLM-0020,control,south,motor,moderate,phone,28,5,5.1,2.6,41,63
CLM-0021,control,north,home,moderate,web_form,29,3,4.5,3.0,24,72
CLM-0022,control,south,motor,simple,phone,21,3,4.6,3.0,35,74
CLM-0023,control,north,motor,moderate,broker,27,4,4.8,2.9,29,70
CLM-0024,control,south,home,moderate,phone,32,5,5.2,2.5,42,62
CLM-0025,pilot,east,motor,simple,digital_assistant,8,0,2.0,4.6,9,93
CLM-0026,pilot,west,motor,simple,digital_assistant,7,0,1.8,4.7,8,95
CLM-0027,pilot,east,home,moderate,digital_assistant,14,1,2.6,4.3,14,88
CLM-0028,pilot,west,motor,simple,phone,12,1,2.9,4.2,28,86
CLM-0029,pilot,east,fleet,moderate,fleet_portal,13,1,2.5,4.4,16,90
CLM-0030,pilot,west,home,complex,concierge,34,2,3.4,4.0,48,78
CLM-0031,pilot,east,motor,simple,digital_assistant,9,0,2.1,4.5,10,92
CLM-0032,pilot,west,motor,moderate,digital_assistant,15,1,2.8,4.2,17,85
CLM-0033,pilot,east,home,moderate,digital_assistant,16,1,2.7,4.3,15,87
CLM-0034,pilot,west,fleet,moderate,fleet_portal,12,1,2.4,4.5,15,91
CLM-0035,pilot,east,motor,simple,digital_assistant,8,0,1.9,4.6,9,94
CLM-0036,pilot,west,home,complex,concierge,37,3,3.6,3.9,51,75
CLM-0037,pilot,east,motor,simple,phone,13,1,3.0,4.1,29,84
CLM-0038,pilot,west,motor,simple,digital_assistant,7,0,1.8,4.7,8,95
CLM-0039,pilot,east,home,moderate,digital_assistant,15,1,2.6,4.4,14,89
CLM-0040,pilot,west,fleet,simple,fleet_portal,10,0,2.2,4.5,12,92
