cohort,month,members_active,retention_pct,avg_visits_per_member,nps,checkpoint_redemption_pct
legacy-2025Q1,0,1840,100.0,6.2,24,0
legacy-2025Q1,1,1711,93.0,6.0,23,0
legacy-2025Q1,2,1592,86.5,5.6,22,0
legacy-2025Q1,3,1490,81.0,5.1,22,0
legacy-2025Q1,4,1435,78.0,4.8,23,0
legacy-2025Q1,5,1380,75.0,4.5,23,0
legacy-2025Q1,6,1343,73.0,4.3,24,0
legacy-2025Q1,7,1316,71.5,4.2,24,0
legacy-2025Q1,8,1297,70.5,4.2,24,0
legacy-2025Q1,9,1279,69.5,4.1,25,0
legacy-2025Q1,10,1270,69.0,4.1,25,0
legacy-2025Q1,11,1260,68.5,4.1,25,0
legacy-2025Q1,12,1251,68.0,4.1,25,0
pilot-control-A,0,620,100.0,6.3,25,0
pilot-control-A,1,577,93.0,6.0,24,0
pilot-control-A,2,536,86.5,5.7,23,0
pilot-control-A,3,502,81.0,5.2,24,0
pilot-control-A,4,484,78.0,4.9,25,0
pilot-control-A,5,465,75.0,4.6,25,0
pilot-control-A,6,453,73.0,4.4,26,0
pilot-staged-B,0,640,100.0,7.8,31,0
pilot-staged-B,1,614,96.0,7.6,34,0
pilot-staged-B,2,589,92.0,7.5,37,0
pilot-staged-B,3,563,88.0,7.4,40,74
pilot-staged-B,4,544,85.0,7.3,42,74
pilot-staged-B,5,531,83.0,7.3,43,74
pilot-staged-B,6,518,81.0,7.2,45,74
