account_id,segment,annual_shipments,sla_attainment_pct,shipper_nps,retained_flag,gross_margin_eur
HL-1001,Retail,610,91.2,22,1,12400
HL-1002,Retail,490,88.4,18,1,9800
HL-1003,Retail,430,84.1,-12,1,8600
HL-1004,Retail,280,82.6,-28,1,5400
HL-1005,Retail,620,90.3,18,1,12600
HL-1006,Retail,460,86.9,8,1,9100
HL-1007,Retail,200,79.8,-35,0,3800
HL-1008,Retail,520,89.5,10,1,10200
HL-2001,FMCG,740,92.1,28,1,15600
HL-2002,FMCG,460,88.8,8,1,9600
HL-2003,FMCG,960,93.4,35,1,19600
HL-2004,FMCG,400,85.2,-4,1,8200
HL-2005,FMCG,640,90.7,19,1,13200
HL-2006,FMCG,300,83.7,-18,0,6100
HL-2007,FMCG,580,89.1,12,1,11900
HL-2008,FMCG,470,87.3,12,1,9800
HL-3001,Industrial,360,86.4,6,1,7400
HL-3002,Industrial,520,90.8,13,1,10900
HL-3003,Industrial,210,81.2,-22,0,4200
HL-3004,Industrial,550,89.6,29,1,11400
HL-3005,Industrial,400,87.9,15,1,8100
HL-3006,Industrial,360,84.5,-8,1,7300
HL-3007,Industrial,720,91.7,24,1,15100
HL-3008,Industrial,150,78.9,-41,0,2900
HL-4001,Pharma,760,93.8,38,1,16700
HL-4002,Pharma,690,91.9,27,1,15100
HL-4003,Pharma,460,89.2,12,1,10100
HL-4004,Pharma,730,92.6,31,1,16000
HL-4005,Pharma,480,88.1,19,1,10400
HL-4006,Pharma,690,90.4,17,1,15100
HL-4007,Pharma,360,85.6,2,1,7900
HL-4008,Pharma,810,94.1,41,1,17700
HL-5001,EcomSMB,250,84.8,-6,1,4900
HL-5002,EcomSMB,160,80.4,-19,1,3100
HL-5003,EcomSMB,310,87.6,14,1,6200
HL-5004,EcomSMB,290,86.1,3,1,5600
HL-5005,EcomSMB,370,89.8,10,1,7400
HL-5006,EcomSMB,130,79.2,-33,0,2400
HL-5007,EcomSMB,350,88.5,22,1,7100
HL-5008,EcomSMB,230,85.3,-9,1,4500
