pickup_id,cohort,segment,order_channel,prep_time_min,wait_time_min,pickup_mode,effort_score_1_7,csat_1_5,no_show_flag
PK-0001,baseline,digital_parent,app,285.5,6.5,click_and_collect,5.1,4.5,0
PK-0002,baseline,chronic,app,225.1,6.1,click_and_collect,5.4,3.7,0
PK-0003,baseline,other,app,149.8,5.3,click_and_collect,4.6,2.7,0
PK-0004,baseline,digital_parent,phone,145.5,4.8,click_and_collect,6.3,3.5,0
PK-0005,baseline,caregiver,phone,219.3,7.1,click_and_collect,5.6,3.2,0
PK-0006,baseline,other,app,196.8,7.3,click_and_collect,4.6,3.9,0
PK-0007,baseline,chronic,app,228.6,4.3,click_and_collect,5.7,3.3,0
PK-0008,baseline,digital_parent,web,277.9,4.3,click_and_collect,5.6,2.7,0
PK-0009,baseline,other,app,279.4,6.6,click_and_collect,4.8,3.7,0
PK-0010,baseline,caregiver,app,277.2,5.1,click_and_collect,3.4,3.8,0
PK-0011,baseline,chronic,app,209.8,7.1,click_and_collect,4.7,4.6,0
PK-0012,baseline,other,app,209.5,5.7,click_and_collect,4.8,3.0,0
PK-0013,baseline,digital_parent,phone,220.9,9.9,click_and_collect,4.7,2.9,0
PK-0014,baseline,digital_parent,web,295.2,,click_and_collect,,,1
PK-0015,baseline,other,app,151.4,,click_and_collect,,,1
PK-0016,baseline,chronic,app,258.6,,click_and_collect,,,1
PK-0017,baseline,elderly_repeat,in_store,6.1,4.8,counter_pickup,4.7,2.4,0
PK-0018,baseline,elderly_repeat,in_store,6.5,4.1,counter_pickup,4.9,3.2,0
PK-0019,baseline,elderly_repeat,in_store,6.1,4.2,counter_pickup,4.5,2.8,0
PK-0020,baseline,elderly_repeat,in_store,5.6,4.0,counter_pickup,3.6,2.6,0
PK-0021,baseline,chronic,in_store,6.8,11.5,counter_pickup,4.4,2.5,0
PK-0022,baseline,other,in_store,7.6,10.7,counter_pickup,4.1,4.0,0
PK-0023,baseline,caregiver,in_store,9.4,8.6,counter_pickup,4.0,2.9,0
PK-0024,baseline,other,in_store,6.5,9.8,counter_pickup,5.3,4.3,0
PK-0025,baseline,chronic,in_store,6.7,13.0,counter_pickup,5.4,3.5,0
PK-0026,baseline,other,in_store,5,9.1,counter_pickup,4.9,3.5,0
PK-0027,baseline,digital_parent,in_store,7.6,9.7,counter_pickup,3.3,4.5,0
PK-0028,baseline,other,in_store,7.1,11.3,counter_pickup,4.4,2.7,0
