customer_id_hash,segment_type,cluster_code,cluster_label,persona_label,annual_spend_band_eur,contacts_24m,self_serve_status,tenure_years
KES-5ED5FF18F2,household,C5,strained_budgeters,,900-1400,11,never,10
KES-9582188437,household,C3,price_super_vigilants,markus_tariff_hawk,500-900,1,active,4
KES-DF2D1DCCBD,sme,S2,sme_cost_controllers,,20000-60000,2,lapsed,6
KES-21B25E86D5,household,C1,settled_autopilots,,500-900,1,active,14
KES-211D086856,household,C2,digitally_disengaged_seniors,ingrid_assisted_senior,500-900,2,never,12
KES-0DA1E5504F,household,C2,digitally_disengaged_seniors,ingrid_assisted_senior,900-1400,5,lapsed,18
KES-0FD34E682A,sme,S3,sme_multi_site_operators,,60000+,8,active,21
KES-EDFF34B040,sme,S4,sme_owner_operators,,5000-20000,5,active,13
KES-C167A49FBF,household,C4,busy_digital_managers,,2200-5000,0,active,3
KES-E3CCFB235E,household,C2,digitally_disengaged_seniors,ingrid_assisted_senior,500-900,3,lapsed,28
KES-95D0EB3EBA,household,C1,settled_autopilots,,500-900,1,active,23
KES-E934EBA6B0,household,C4,busy_digital_managers,,1400-2200,1,active,9
KES-18B7168D79,household,C4,busy_digital_managers,,1400-2200,2,active,15
KES-7869DAF64F,household,C7,new_movers,,900-1400,3,active,1
KES-59C1D62B06,household,C4,busy_digital_managers,,1400-2200,3,active,3
KES-9F868F228A,household,C6,eco_optimizers,,900-1400,1,active,14
KES-1648B6B24B,household,C1,settled_autopilots,,900-1400,1,active,15
KES-21EF8E4FE7,household,C3,price_super_vigilants,markus_tariff_hawk,900-1400,7,active,9
KES-2269F9CD36,sme,S1,sme_facilities_multitaskers,sabine_facilities_multitasker,5000-20000,2,never,12
KES-39EBB9ED6F,household,C1,settled_autopilots,,<500,1,active,17
KES-9722E817F8,household,C4,busy_digital_managers,,500-900,2,lapsed,18
KES-27E3E04BE2,household,C1,settled_autopilots,,900-1400,0,never,23
KES-0302C5281D,household,C5,strained_budgeters,,900-1400,10,active,6
KES-0A0404A75F,household,C3,price_super_vigilants,markus_tariff_hawk,1400-2200,2,active,13
KES-3DB697F691,household,C5,strained_budgeters,,1400-2200,9,never,8
KES-900A3550CF,household,C3,price_super_vigilants,markus_tariff_hawk,500-900,1,never,4
KES-EC368F6551,household,C1,settled_autopilots,,<500,0,lapsed,5
KES-27D3DFDF0E,household,C6,eco_optimizers,,2200-5000,0,lapsed,4
KES-2B58501463,household,C3,price_super_vigilants,markus_tariff_hawk,1400-2200,7,lapsed,5
KES-060477A531,sme,S2,sme_cost_controllers,,20000-60000,6,active,9
KES-876D63C7A5,household,C2,digitally_disengaged_seniors,ingrid_assisted_senior,900-1400,6,lapsed,27
KES-6D9E19D947,household,C4,busy_digital_managers,,1400-2200,2,active,18
KES-5415188019,sme,S4,sme_owner_operators,,5000-20000,0,active,2
KES-386E867762,household,C3,price_super_vigilants,markus_tariff_hawk,900-1400,0,active,4
KES-CB2D99E0B2,sme,S1,sme_facilities_multitaskers,sabine_facilities_multitasker,20000-60000,1,active,3
KES-117AF7AA6C,household,C1,settled_autopilots,,500-900,0,never,5
KES-3911F337E8,household,C4,busy_digital_managers,,1400-2200,1,active,17
KES-9D4835230B,sme,S1,sme_facilities_multitaskers,sabine_facilities_multitasker,20000-60000,9,active,17
KES-DDFCC53E58,household,C4,busy_digital_managers,,900-1400,3,active,8
KES-CE81EC16EE,household,C4,busy_digital_managers,,500-900,0,active,13
KES-B1E93032A6,sme,S2,sme_cost_controllers,,20000-60000,3,active,4
KES-2FCDDF18B3,household,C1,settled_autopilots,,900-1400,0,active,26
KES-31BB3F7B32,sme,S1,sme_facilities_multitaskers,sabine_facilities_multitasker,20000-60000,2,active,8
KES-B6B3CCEAB3,sme,S3,sme_multi_site_operators,,60000+,9,active,9
KES-D5967B9B57,household,C1,settled_autopilots,,500-900,1,active,5
KES-5CDF2D2C28,household,C3,price_super_vigilants,markus_tariff_hawk,1400-2200,8,active,11
KES-5A1F3C8517,household,C4,busy_digital_managers,,1400-2200,0,lapsed,7
KES-B84001BA60,household,C1,settled_autopilots,,500-900,1,active,15
KES-4385BD1A81,household,C4,busy_digital_managers,,2200-5000,0,active,2
KES-C20C996CD0,sme,S1,sme_facilities_multitaskers,sabine_facilities_multitasker,20000-60000,5,never,11
KES-E58F8738A6,household,C6,eco_optimizers,,2200-5000,4,active,9
KES-FAA5C57659,household,C1,settled_autopilots,,500-900,0,active,4
KES-2850D18F83,sme,S3,sme_multi_site_operators,,60000+,10,active,14
KES-A48F713445,household,C1,settled_autopilots,,<500,0,active,19
KES-9C067D3D90,household,C1,settled_autopilots,,900-1400,0,active,19
KES-AA7F0C57E1,household,C1,settled_autopilots,,<500,0,active,5
KES-F84315AC0C,household,C2,digitally_disengaged_seniors,ingrid_assisted_senior,900-1400,6,lapsed,23
KES-FE69A8EE4C,household,C7,new_movers,,900-1400,0,active,3
KES-969474C99A,household,C1,settled_autopilots,,900-1400,1,lapsed,24
KES-E3CBAE8305,household,C1,settled_autopilots,,900-1400,1,active,15
