event_id,event,phase,channel,agg_time_min,emotion_score,pain_code,quote_ref
DSR-0001,EVT-02-atc-strike,Pre-flight,sms,18,2,INFO,TKT-5012
DSR-0002,EVT-01-storm-yara,Pre-flight,email,109,2,INFO,INT-025
DSR-0003,EVT-03-it-outage,Pre-flight,app,19,2,OTHER,INT-058
DSR-0004,EVT-02-atc-strike,Pre-flight,gate_board,92,2,INFO,INT-053
DSR-0005,EVT-01-storm-yara,Pre-flight,sms,104,3,INFO,TKT-4611
DSR-0006,EVT-03-it-outage,Pre-flight,email,50,2,OTHER,SOC-106
DSR-0007,EVT-02-atc-strike,Pre-flight,app,35,3,INFO,TKT-6574
DSR-0008,EVT-01-storm-yara,Pre-flight,gate_board,42,2,INFO,NONE
DSR-0009,EVT-03-it-outage,Pre-flight,sms,26,2,OTHER,INT-094
DSR-0010,EVT-02-atc-strike,Pre-flight,email,92,3,INFO,INT-014
DSR-0011,EVT-01-storm-yara,Pre-flight,app,83,3,INFO,INT-099
DSR-0012,EVT-03-it-outage,Pre-flight,gate_board,52,1,OTHER,SOC-733
DSR-0013,EVT-02-atc-strike,At-airport,gate_board,86,2,INFO,TKT-2139
DSR-0014,EVT-01-storm-yara,At-airport,desk,69,1,QUEUE,SOC-181
DSR-0015,EVT-03-it-outage,At-airport,app,150,2,QUEUE,INT-074
DSR-0016,EVT-02-atc-strike,At-airport,kiosk,146,1,INFO,INT-097
DSR-0017,EVT-01-storm-yara,At-airport,gate_board,125,1,INFO,INT-021
DSR-0018,EVT-03-it-outage,At-airport,desk,61,2,QUEUE,TKT-5010
DSR-0019,EVT-02-atc-strike,At-airport,app,88,1,QUEUE,INT-059
DSR-0020,EVT-01-storm-yara,At-airport,kiosk,147,2,INFO,SOC-157
DSR-0021,EVT-03-it-outage,At-airport,gate_board,44,1,INFO,SOC-510
DSR-0022,EVT-02-atc-strike,At-airport,desk,67,1,QUEUE,NONE
DSR-0023,EVT-01-storm-yara,At-airport,app,131,2,QUEUE,INT-130
DSR-0024,EVT-03-it-outage,At-airport,kiosk,122,1,INFO,TKT-5339
DSR-0025,EVT-02-atc-strike,At-airport,gate_board,135,1,INFO,TKT-5304
DSR-0026,EVT-01-storm-yara,At-airport,desk,94,2,QUEUE,SOC-508
DSR-0027,EVT-03-it-outage,At-airport,app,57,1,QUEUE,TKT-2489
DSR-0028,EVT-02-atc-strike,At-airport,kiosk,150,2,INFO,INT-043
DSR-0029,EVT-03-it-outage,New arrangements,desk,168,2,CARE,TKT-7304
DSR-0030,EVT-02-atc-strike,New arrangements,app,179,2,CARE,TKT-1188
DSR-0031,EVT-01-storm-yara,New arrangements,phone,89,2,INFO,TKT-9797
DSR-0032,EVT-03-it-outage,New arrangements,desk,224,2,CARE,INT-078
DSR-0033,EVT-02-atc-strike,New arrangements,app,176,2,CARE,INT-070
DSR-0034,EVT-01-storm-yara,New arrangements,phone,105,3,INFO,TKT-2743
DSR-0035,EVT-03-it-outage,New arrangements,desk,136,3,CARE,SOC-619
DSR-0036,EVT-02-atc-strike,New arrangements,app,99,2,CARE,INT-044
DSR-0037,EVT-01-storm-yara,New arrangements,phone,195,2,INFO,NONE
DSR-0038,EVT-03-it-outage,New arrangements,desk,185,2,CARE,INT-095
DSR-0039,EVT-01-storm-yara,Rebook,app,103,2,REB,INT-064
DSR-0040,EVT-03-it-outage,Rebook,phone,45,2,REB,INT-127
DSR-0041,EVT-02-atc-strike,Rebook,desk,161,2,QUEUE,SOC-231
DSR-0042,EVT-01-storm-yara,Rebook,kiosk,165,1,REB,INT-138
DSR-0043,EVT-03-it-outage,Rebook,app,133,2,REB,NONE
DSR-0044,EVT-02-atc-strike,Rebook,phone,76,3,QUEUE,TKT-7537
DSR-0045,EVT-01-storm-yara,Rebook,desk,120,3,REB,INT-135
DSR-0046,EVT-03-it-outage,Rebook,kiosk,88,1,REB,INT-089
DSR-0047,EVT-02-atc-strike,Rebook,app,166,1,QUEUE,INT-059
DSR-0048,EVT-01-storm-yara,Rebook,phone,40,1,REB,INT-011
DSR-0049,EVT-03-it-outage,Rebook,desk,43,2,REB,TKT-5562
DSR-0050,EVT-02-atc-strike,Rebook,kiosk,79,1,QUEUE,TKT-8744
DSR-0051,EVT-01-storm-yara,Rebook,app,146,1,REB,SOC-294
DSR-0052,EVT-03-it-outage,Rebook,phone,135,1,REB,INT-108
DSR-0053,EVT-03-it-outage,Recovery,web_form,41,2,COMP,INT-028
DSR-0054,EVT-02-atc-strike,Recovery,email,41,1,COMP,INT-030
DSR-0055,EVT-01-storm-yara,Recovery,phone,24,1,OTHER,TKT-3296
DSR-0056,EVT-03-it-outage,Recovery,web_form,26,2,COMP,TKT-2235
DSR-0057,EVT-02-atc-strike,Recovery,email,45,2,COMP,SOC-200
DSR-0058,EVT-01-storm-yara,Recovery,phone,35,1,OTHER,SOC-195
DSR-0059,EVT-03-it-outage,Recovery,web_form,45,3,COMP,INT-107
DSR-0060,EVT-02-atc-strike,Recovery,email,24,2,COMP,SOC-160
