card_a,card_b,normalized_distance,cogrouped_by_n_of_40
grades,exam_results,0.14,34
grades,report_summary,0.20,32
grades,attendance,0.28,29
grades,homework_due,0.55,18
grades,timetable,0.45,22
grades,lunch_balance,0.49,20
grades,teacher_message,0.58,17
grades,absence_note,0.65,14
grades,discipline_notes,0.64,14
grades,class_announcements,0.89,4
grades,photo_consent,0.79,8
exam_results,report_summary,0.24,30
exam_results,attendance,0.31,28
exam_results,homework_due,0.51,20
exam_results,timetable,0.45,22
exam_results,lunch_balance,0.48,21
exam_results,teacher_message,0.62,15
exam_results,absence_note,0.55,18
exam_results,discipline_notes,0.58,17
exam_results,class_announcements,0.86,6
exam_results,photo_consent,0.85,6
report_summary,attendance,0.30,28
report_summary,homework_due,0.48,21
report_summary,timetable,0.54,18
report_summary,lunch_balance,0.57,17
report_summary,teacher_message,0.55,18
report_summary,absence_note,0.65,14
report_summary,discipline_notes,0.64,14
report_summary,class_announcements,0.82,7
report_summary,photo_consent,0.80,8
attendance,homework_due,0.59,16
attendance,timetable,0.50,20
attendance,lunch_balance,0.46,22
attendance,teacher_message,0.56,18
attendance,absence_note,0.66,14
attendance,discipline_notes,0.63,15
attendance,class_announcements,0.88,5
attendance,photo_consent,0.87,5
homework_due,timetable,0.18,33
homework_due,lunch_balance,0.33,27
homework_due,teacher_message,0.64,14
homework_due,absence_note,0.70,12
homework_due,discipline_notes,0.63,15
homework_due,class_announcements,0.77,9
homework_due,photo_consent,0.80,8
timetable,lunch_balance,0.32,27
timetable,teacher_message,0.65,14
timetable,absence_note,0.68,13
timetable,discipline_notes,0.65,14
timetable,class_announcements,0.78,9
timetable,photo_consent,0.71,12
lunch_balance,teacher_message,0.61,16
lunch_balance,absence_note,0.61,16
lunch_balance,discipline_notes,0.59,16
lunch_balance,class_announcements,0.73,11
lunch_balance,photo_consent,0.71,12
teacher_message,absence_note,0.19,32
teacher_message,discipline_notes,0.26,30
teacher_message,class_announcements,0.66,14
teacher_message,photo_consent,0.70,12
absence_note,discipline_notes,0.28,29
absence_note,class_announcements,0.67,13
absence_note,photo_consent,0.67,13
discipline_notes,class_announcements,0.65,14
discipline_notes,photo_consent,0.65,14
class_announcements,photo_consent,0.38,25
