job_id,cohort,intake_channel,priority,wait_days,status_chase,first_time_fix,source_system
RJB-20251001,pre,email,routine,14,0,1,contractor_link
RJB-20251002,pre,phone,routine,16,1,0,asset_plan
RJB-20251003,pre,phone,routine,17,1,0,contractor_link
RJB-20251004,pre,phone,routine,18,0,1,repairs_db
RJB-20251005,pre,phone,routine,19,1,1,repairs_db
RJB-20251006,pre,phone,routine,20,1,1,contractor_link
RJB-20251007,pre,phone,routine,21,0,0,repairs_db
RJB-20251008,pre,web,routine,22,0,0,contractor_link
RJB-20251009,pre,in_person,routine,23,1,1,contractor_link
RJB-20251010,pre,in_person,routine,24,0,1,asset_plan
RJB-20251011,pre,phone,routine,25,1,1,repairs_db
RJB-20251012,pre,phone,routine,26,0,1,repairs_db
RJB-20251013,pre,phone,routine,27,1,1,repairs_db
RJB-20251014,pre,phone,routine,28,1,0,repairs_db
RJB-20251015,pre,phone,routine,29,0,1,repairs_db
RJB-20251016,pre,web,routine,30,0,1,repairs_db
RJB-20251017,pre,web,routine,31,1,0,repairs_db
RJB-20251018,pre,phone,routine,33,0,1,asset_plan
RJB-20251019,pre,email,routine,18,0,0,contractor_link
RJB-20251020,pre,email,routine,22,0,0,repairs_db
RJB-20251021,pre,web,urgent,4,0,1,contractor_link
RJB-20251022,pre,web,urgent,2,0,0,repairs_db
RJB-20251023,pre,phone,urgent,2,1,0,contractor_link
RJB-20251024,pre,phone,urgent,5,0,1,repairs_db
RJB-20251025,pre,web,urgent,3,1,1,contractor_link
RJB-20251026,pre,phone,urgent,4,0,1,contractor_link
RJB-20251027,pre,phone,emergency,0,0,0,repairs_db
RJB-20251028,pre,web,emergency,1,0,1,repairs_db
RJB-20251029,pilot,phone,routine,11,1,1,repairs_db
RJB-20251030,pilot,web,routine,13,1,1,asset_plan
RJB-20251031,pilot,web,routine,14,0,1,contractor_link
RJB-20251032,pilot,in_person,routine,15,0,1,contractor_link
RJB-20251033,pilot,email,routine,16,0,1,repairs_db
RJB-20251034,pilot,phone,routine,17,0,1,contractor_link
RJB-20251035,pilot,phone,routine,18,1,1,repairs_db
RJB-20251036,pilot,web,routine,19,0,1,repairs_db
RJB-20251037,pilot,phone,routine,20,1,1,repairs_db
RJB-20251038,pilot,phone,routine,21,0,0,contractor_link
RJB-20251039,pilot,phone,routine,22,1,0,contractor_link
RJB-20251040,pilot,phone,routine,24,0,0,contractor_link
RJB-20251041,pilot,phone,routine,16,0,1,repairs_db
RJB-20251042,pilot,phone,routine,19,0,1,repairs_db
RJB-20251043,pilot,web,urgent,2,0,1,contractor_link
RJB-20251044,pilot,web,urgent,3,1,0,repairs_db
RJB-20251045,pilot,phone,urgent,4,0,1,repairs_db
RJB-20251046,pilot,email,urgent,3,0,1,contractor_link
RJB-20251047,pilot,phone,emergency,1,0,0,repairs_db
RJB-20251048,pilot,web,emergency,1,0,0,repairs_db
