order_id,origin_channel,store_id,prep_time_min,pickup_window_hit,no_show,contacts,contact_driver,returned,return_route,refund_days
JRC-26-10421,web,JST-051,43,1,0,0,,0,,
JRC-26-10422,web,JST-011,52,1,0,0,,0,,
JRC-26-10423,app,JST-023,49,0,1,1,status_chase,0,,
JRC-26-10424,web,JST-017,44,1,0,1,status_chase,0,,
JRC-26-10425,web,JST-017,68,0,0,0,,0,,
JRC-26-10426,web,JST-077,65,1,0,0,,0,,
JRC-26-10427,app,JST-051,26,1,0,0,,0,,
JRC-26-10428,web,JST-028,70,1,0,0,,0,,
JRC-26-10429,web,JST-051,42,1,0,2,return_refund,1,in_store,0
JRC-26-10430,web,JST-104,48,1,0,1,window_location,1,parcel_locker,3
JRC-26-10431,web,JST-089,31,1,0,0,,1,parcel_locker,3
JRC-26-10432,app,JST-017,50,1,0,0,,0,,
JRC-26-10433,web,JST-042,57,1,0,1,status_chase,0,,
JRC-26-10434,web,JST-023,26,1,0,0,,0,,
JRC-26-10435,web,JST-023,78,1,0,0,,0,,
JRC-26-10436,web,JST-104,42,1,0,0,,0,,
JRC-26-10437,web,JST-077,71,1,0,0,,0,,
JRC-26-10438,web,JST-011,31,1,0,0,,0,,
JRC-26-10439,app,JST-077,39,1,0,0,,0,,
JRC-26-10440,web,JST-034,75,1,0,0,,0,,
JRC-26-10441,app,JST-042,61,1,0,0,,0,,
JRC-26-10442,web,JST-051,47,0,1,0,,0,,
JRC-26-10443,web,JST-063,18,1,0,0,,0,,
JRC-26-10444,web,JST-017,72,1,0,0,,0,,
JRC-26-10445,app,JST-034,34,1,0,0,,0,,
JRC-26-10446,app,JST-077,66,1,0,0,,0,,
JRC-26-10447,app,JST-077,42,1,0,0,,0,,
JRC-26-10448,app,JST-063,35,1,0,0,,0,,
JRC-26-10449,web,JST-017,18,0,0,0,,0,,
JRC-26-10450,web,JST-017,55,0,0,0,,0,,
JRC-26-10451,web,JST-077,23,1,0,0,,0,,
JRC-26-10452,web,JST-034,52,1,0,0,,0,,
JRC-26-10453,web,JST-011,49,1,0,1,return_refund,0,,
JRC-26-10454,app,JST-004,59,1,0,0,,1,in_store,0
JRC-26-10455,web,JST-077,25,1,0,0,,0,,
JRC-26-10456,web,JST-028,42,1,0,1,status_chase,0,,
JRC-26-10457,web,JST-051,64,1,0,0,,1,post_office,5
JRC-26-10458,app,JST-004,72,1,0,0,,0,,
JRC-26-10459,web,JST-077,47,1,0,0,,0,,
JRC-26-10460,web,JST-034,40,1,0,0,,0,,
JRC-26-10461,web,JST-042,18,1,0,1,return_refund,0,,
JRC-26-10462,web,JST-104,43,0,1,0,,1,post_office,5
JRC-26-10463,app,JST-017,69,1,0,0,,0,,
JRC-26-10464,app,JST-089,46,1,0,1,missing_item,0,,
JRC-26-10465,web,JST-034,52,1,0,1,window_location,0,,
JRC-26-10466,app,JST-089,42,1,0,0,,0,,
JRC-26-10467,web,JST-042,41,1,0,0,,0,,
JRC-26-10468,web,JST-028,50,1,0,0,,1,in_store,0
JRC-26-10469,app,JST-028,47,1,0,0,,0,,
JRC-26-10470,app,JST-023,63,0,1,0,,0,,
JRC-26-10471,web,JST-104,51,1,0,0,,0,,
JRC-26-10472,web,JST-004,23,1,0,0,,0,,
JRC-26-10473,web,JST-063,44,1,0,0,,0,,
JRC-26-10474,web,JST-063,64,1,0,0,,0,,
JRC-26-10475,web,JST-011,87,1,0,0,,0,,
JRC-26-10476,app,JST-104,72,1,0,0,,1,in_store,0
JRC-26-10477,web,JST-104,18,1,0,0,,0,,
JRC-26-10478,web,JST-104,78,1,0,0,,0,,
JRC-26-10479,app,JST-051,35,1,0,0,,0,,
JRC-26-10480,app,JST-023,42,1,0,0,,0,,
