workspace_id,cohort_week,setup_complete,invite_sent,first_project,weekly_active_w4,nps
0983beb9,2026-W05,1,0,0,0,7
721e9164,2026-W05,0,0,0,0,6
884dc142,2026-W05,0,0,0,0,5
a8796563,2026-W05,1,1,1,0,
c4492a8a,2026-W05,1,1,1,1,
c837296c,2026-W05,0,0,0,0,
1e926fe1,2026-W06,0,0,0,0,
2f0484d1,2026-W06,0,0,0,0,4
3a310703,2026-W06,0,0,0,0,
6677fb4d,2026-W06,1,1,1,1,8
a8ac4c98,2026-W06,0,0,0,0,7
fad1f00e,2026-W06,1,1,1,1,3
6d2b1cbc,2026-W07,1,0,0,0,
757da0eb,2026-W07,0,0,0,0,
81816d66,2026-W07,1,0,0,0,4
a7a0525b,2026-W07,0,0,0,0,7
b86ff82d,2026-W07,1,0,0,0,7
b9fcf70e,2026-W07,0,0,0,0,7
5d0b3517,2026-W08,1,0,0,0,4
6532009e,2026-W08,1,0,0,0,5
c841441b,2026-W08,1,0,0,0,8
cbcb48bd,2026-W08,0,0,0,0,
db7903e8,2026-W08,0,0,0,0,7
f8924234,2026-W08,0,0,0,0,
3b895ff0,2026-W09,1,1,1,1,8
3bb6a663,2026-W09,0,0,0,0,7
8228036d,2026-W09,1,1,1,1,10
905604ee,2026-W09,0,0,0,0,4
921288f6,2026-W09,1,0,1,1,3
b496670b,2026-W09,0,0,0,0,
1fa34462,2026-W24,1,1,1,1,
265b9f4a,2026-W24,1,0,0,0,7
7d29c7f3,2026-W24,1,1,1,1,4
93abe009,2026-W24,1,1,1,1,9
9c5b0d24,2026-W24,1,1,1,0,
ffd31d99,2026-W24,1,0,0,0,
0147c8e1,2026-W25,1,0,0,0,5
7fd4d9bb,2026-W25,1,0,0,0,
a06c548c,2026-W25,1,1,1,1,
ad2d0fbf,2026-W25,1,1,1,0,9
bebf6bfa,2026-W25,1,1,1,1,7
f1150d55,2026-W25,0,0,0,0,
18463fdf,2026-W26,1,0,0,0,10
2114cf3f,2026-W26,1,1,1,1,6
2f437682,2026-W26,1,1,1,0,8
7977cde7,2026-W26,1,1,1,1,
9404cca7,2026-W26,1,1,1,0,
da47dbef,2026-W26,0,0,0,0,
26624c0c,2026-W27,0,0,0,0,6
506117ca,2026-W27,1,1,1,1,
7f620053,2026-W27,1,1,1,1,
bcbadb98,2026-W27,1,0,0,0,
d605e002,2026-W27,1,0,0,0,10
e308a4b7,2026-W27,1,0,0,0,
2886689a,2026-W28,0,0,0,0,8
4e81c3bf,2026-W28,1,0,0,0,7
bce3be7c,2026-W28,0,0,0,0,
cb6c3020,2026-W28,1,0,1,1,
df679230,2026-W28,1,1,1,1,
f68eaec9,2026-W28,1,0,0,0,
