attendance_id,participant_hash,session_id,session_venue,cohort,preferred_language,accessibility_flag,silent_card_submitted,dots_safety_after_dark,dots_reliability_information,dots_fair_pricing,dots_digital_exclusion,dots_stop_accessibility,dots_trust_social_connection
MM-A-1000,MM-P-d16d,W1,Kesselt Library,student,nl,0,0,2,2,0,3,1,2
MM-A-1001,MM-P-4d41,W1,Kesselt Library,shift_worker,nl,0,1,2,3,2,1,0,2
MM-A-1002,MM-P-d3c6,W1,Kesselt Library,elderly_60plus,nl,0,0,4,3,1,0,2,0
MM-A-1003,MM-P-78c4,W1,Kesselt Library,shift_worker,en,0,0,3,3,2,0,0,2
MM-A-1004,MM-P-1449,W1,Kesselt Library,shift_worker,nl,1,1,3,4,1,0,1,1
MM-A-1005,MM-P-9369,W1,Kesselt Library,elderly_60plus,nl,1,0,3,1,0,3,2,1
MM-A-1006,MM-P-69cb,W1,Kesselt Library,shift_worker,nl,0,0,4,2,2,0,1,1
MM-A-1007,MM-P-c59c,W1,Kesselt Library,shift_worker,nl,1,0,4,1,0,0,2,3
MM-A-1008,MM-P-017f,W1,Kesselt Library,shift_worker,en,0,0,2,2,4,0,1,1
MM-A-1009,MM-P-6825,W1,Kesselt Library,elderly_60plus,nl,0,0,1,4,1,1,3,0
MM-A-1010,MM-P-5125,W1,Kesselt Library,student,nl,1,0,3,2,3,1,1,0
MM-A-1011,MM-P-d2cc,W1,Kesselt Library,other_resident,en,0,1,2,2,3,0,1,2
MM-A-1012,MM-P-a279,W1,Kesselt Library,elderly_60plus,nl,1,0,1,3,1,1,4,0
MM-A-1013,MM-P-ac94,W1,Kesselt Library,student,nl,0,0,1,3,1,2,2,1
MM-A-1014,MM-P-f6b8,W1,Kesselt Library,other_resident,nl,0,0,1,1,4,1,2,1
MM-A-1015,MM-P-7393,W1,Kesselt Library,student,tr,0,0,3,1,2,3,0,1
MM-A-1016,MM-P-7706,W2,Bergenveld Village Hall,shift_worker,nl,1,0,4,3,1,0,2,0
MM-A-1017,MM-P-7c79,W2,Bergenveld Village Hall,student,en,0,1,1,3,1,3,0,2
MM-A-1018,MM-P-017f,W2,Bergenveld Village Hall,shift_worker,en,0,1,2,4,2,0,1,1
MM-A-1019,MM-P-813d,W2,Bergenveld Village Hall,elderly_60plus,nl,0,0,2,3,1,0,3,1
MM-A-1020,MM-P-6825,W2,Bergenveld Village Hall,elderly_60plus,nl,0,0,2,1,3,2,2,0
MM-A-1021,MM-P-12d8,W2,Bergenveld Village Hall,shift_worker,nl,0,0,2,3,2,1,2,0
MM-A-1022,MM-P-d7ce,W2,Bergenveld Village Hall,parent_carer,ar,0,1,3,3,2,1,0,1
MM-A-1023,MM-P-d2cc,W2,Bergenveld Village Hall,other_resident,en,0,0,2,3,1,1,1,2
MM-A-1024,MM-P-f64f,W2,Bergenveld Village Hall,shift_worker,nl,0,0,4,2,2,1,1,0
MM-A-1025,MM-P-64b5,W2,Bergenveld Village Hall,parent_carer,nl,0,0,3,2,2,1,2,0
MM-A-1026,MM-P-eca0,W2,Bergenveld Village Hall,parent_carer,nl,0,0,2,3,3,1,0,1
MM-A-1027,MM-P-e484,W2,Bergenveld Village Hall,shift_worker,nl,0,0,3,1,2,2,0,2
