member_id_hash,cohort,week,checkins,goal_attainment_pct,engagement_score,relapse_flag,outcome_flag
0ec082e02a,control-standard,1,3,68,71,none,green
0ec082e02a,control-standard,2,2,51,68,none,amber
0ec082e02a,control-standard,3,1,54,67,none,amber
0ec082e02a,control-standard,4,0,28,41,lapse,red
0ec082e02a,control-standard,5,0,38,59,none,red
0ec082e02a,control-standard,6,1,50,54,none,red
0ec082e02a,control-standard,7,2,32,56,none,red
0ec082e02a,control-standard,8,0,28,53,none,red
0ec082e02a,control-standard,9,0,37,50,none,red
0ec082e02a,control-standard,10,2,41,46,none,red
0ec082e02a,control-standard,11,0,28,46,none,red
0ec082e02a,control-standard,12,0,31,41,none,red
2432cd7f69,control-standard,1,3,69,64,none,amber
2432cd7f69,control-standard,2,3,62,61,none,amber
2432cd7f69,control-standard,3,2,60,59,none,amber
2432cd7f69,control-standard,4,2,55,63,none,amber
2432cd7f69,control-standard,5,0,31,41,lapse,red
2432cd7f69,control-standard,6,1,40,50,none,red
2432cd7f69,control-standard,7,0,44,47,none,red
2432cd7f69,control-standard,8,2,31,51,none,red
2432cd7f69,control-standard,9,0,40,43,none,red
2432cd7f69,control-standard,10,1,35,46,none,red
2432cd7f69,control-standard,11,0,35,39,none,red
2432cd7f69,control-standard,12,1,28,39,none,red
574ba03b29,control-standard,1,2,55,72,none,amber
574ba03b29,control-standard,2,3,62,65,none,amber
574ba03b29,control-standard,3,2,49,61,none,amber
574ba03b29,control-standard,4,0,20,44,lapse,red
574ba03b29,control-standard,5,1,45,62,none,amber
574ba03b29,control-standard,6,2,39,54,none,red
574ba03b29,control-standard,7,2,43,51,none,red
574ba03b29,control-standard,8,1,40,47,none,red
574ba03b29,control-standard,9,0,43,44,none,red
574ba03b29,control-standard,10,1,29,46,none,red
574ba03b29,control-standard,11,0,31,48,none,red
574ba03b29,control-standard,12,0,27,38,none,red
564ae6766a,control-standard,1,2,66,71,none,amber
564ae6766a,control-standard,2,2,64,66,none,amber
564ae6766a,control-standard,3,1,53,66,none,amber
564ae6766a,control-standard,4,1,58,63,none,amber
564ae6766a,control-standard,5,0,15,42,lapse,red
564ae6766a,control-standard,6,1,34,52,none,red
564ae6766a,control-standard,7,2,46,48,none,red
564ae6766a,control-standard,8,0,42,48,none,red
564ae6766a,control-standard,9,1,35,46,none,red
564ae6766a,control-standard,10,1,37,41,none,red
564ae6766a,control-standard,11,0,41,38,none,red
564ae6766a,control-standard,12,1,38,41,none,red
38b7db074a,control-standard,1,2,63,72,none,amber
38b7db074a,control-standard,2,3,49,69,none,amber
38b7db074a,control-standard,3,1,52,65,none,amber
38b7db074a,control-standard,4,0,30,43,lapse,red
38b7db074a,control-standard,5,0,41,58,none,red
38b7db074a,control-standard,6,2,36,61,none,red
38b7db074a,control-standard,7,0,48,50,none,red
38b7db074a,control-standard,8,2,32,47,none,red
38b7db074a,control-standard,9,0,42,47,none,red
38b7db074a,control-standard,10,0,29,46,none,red
38b7db074a,control-standard,11,0,30,43,none,red
38b7db074a,control-standard,12,0,23,45,none,red
56080accdc,control-standard,1,3,63,66,none,amber
56080accdc,control-standard,2,1,56,64,none,amber
56080accdc,control-standard,3,1,58,63,none,amber
56080accdc,control-standard,4,0,32,45,lapse,red
56080accdc,control-standard,5,1,54,53,none,red
56080accdc,control-standard,6,2,39,51,none,red
56080accdc,control-standard,7,0,34,54,none,red
56080accdc,control-standard,8,2,36,52,none,red
56080accdc,control-standard,9,1,39,46,none,red
56080accdc,control-standard,10,0,36,47,none,red
56080accdc,control-standard,11,0,30,40,none,red
56080accdc,control-standard,12,0,31,36,none,red
5a844dc4b1,control-standard,1,2,57,73,none,amber
5a844dc4b1,control-standard,2,3,56,65,none,amber
5a844dc4b1,control-standard,3,2,62,68,none,amber
5a844dc4b1,control-standard,4,0,47,58,none,amber
5a844dc4b1,control-standard,5,0,43,60,none,red
5a844dc4b1,control-standard,6,2,49,55,none,amber
5a844dc4b1,control-standard,7,2,44,54,none,red
5a844dc4b1,control-standard,8,2,32,47,none,red
5a844dc4b1,control-standard,9,0,16,28,lapse,red
5a844dc4b1,control-standard,10,1,42,49,none,red
5a844dc4b1,control-standard,11,0,30,43,none,red
5a844dc4b1,control-standard,12,0,36,39,none,red
462b90d1f5,control-standard,1,1,54,63,none,amber
462b90d1f5,control-standard,2,3,49,62,none,amber
462b90d1f5,control-standard,3,0,59,64,none,amber
462b90d1f5,control-standard,4,1,50,60,none,amber
462b90d1f5,control-standard,5,1,39,55,none,red
462b90d1f5,control-standard,6,0,44,50,none,red
462b90d1f5,control-standard,7,1,50,48,none,red
462b90d1f5,control-standard,8,0,17,33,lapse,red
462b90d1f5,control-standard,9,1,42,42,none,red
462b90d1f5,control-standard,10,1,42,39,none,red
462b90d1f5,control-standard,11,0,39,41,none,red
462b90d1f5,control-standard,12,1,19,40,none,red
63e9d8dfe5,steady-habits-v1,1,3,74,73,none,amber
63e9d8dfe5,steady-habits-v1,2,3,78,75,none,amber
63e9d8dfe5,steady-habits-v1,3,2,69,78,none,green
63e9d8dfe5,steady-habits-v1,4,3,78,82,none,amber
63e9d8dfe5,steady-habits-v1,5,0,49,62,lapse,amber
63e9d8dfe5,steady-habits-v1,6,2,74,80,recovery,amber
63e9d8dfe5,steady-habits-v1,7,2,55,70,none,amber
63e9d8dfe5,steady-habits-v1,8,1,58,69,none,amber
63e9d8dfe5,steady-habits-v1,9,3,67,70,none,amber
63e9d8dfe5,steady-habits-v1,10,1,71,75,none,amber
63e9d8dfe5,steady-habits-v1,11,2,70,71,none,amber
63e9d8dfe5,steady-habits-v1,12,1,65,73,none,amber
a996205594,steady-habits-v1,1,2,72,75,none,amber
a996205594,steady-habits-v1,2,2,70,70,none,amber
a996205594,steady-habits-v1,3,2,63,73,none,amber
a996205594,steady-habits-v1,4,2,77,73,none,amber
a996205594,steady-habits-v1,5,0,54,59,lapse,amber
a996205594,steady-habits-v1,6,3,68,74,recovery,amber
a996205594,steady-habits-v1,7,1,59,74,none,amber
a996205594,steady-habits-v1,8,1,59,69,none,amber
a996205594,steady-habits-v1,9,2,54,69,none,amber
a996205594,steady-habits-v1,10,2,64,71,none,amber
a996205594,steady-habits-v1,11,2,63,70,none,amber
a996205594,steady-habits-v1,12,2,53,69,none,amber
d9176db27e,steady-habits-v1,1,2,55,73,none,amber
d9176db27e,steady-habits-v1,2,2,67,73,none,amber
d9176db27e,steady-habits-v1,3,1,77,80,none,amber
d9176db27e,steady-habits-v1,4,3,79,79,none,amber
d9176db27e,steady-habits-v1,5,1,38,61,lapse,red
d9176db27e,steady-habits-v1,6,1,75,82,recovery,green
d9176db27e,steady-habits-v1,7,2,65,72,none,amber
d9176db27e,steady-habits-v1,8,1,57,73,none,amber
d9176db27e,steady-habits-v1,9,3,55,73,none,amber
d9176db27e,steady-habits-v1,10,2,73,74,none,amber
d9176db27e,steady-habits-v1,11,2,62,74,none,amber
d9176db27e,steady-habits-v1,12,0,55,73,none,amber
40bee49f58,steady-habits-v1,1,2,66,70,none,amber
40bee49f58,steady-habits-v1,2,2,77,78,none,amber
40bee49f58,steady-habits-v1,3,3,71,76,none,green
40bee49f58,steady-habits-v1,4,2,62,78,none,amber
40bee49f58,steady-habits-v1,5,2,76,76,none,green
40bee49f58,steady-habits-v1,6,2,75,72,none,green
40bee49f58,steady-habits-v1,7,2,58,73,none,amber
40bee49f58,steady-habits-v1,8,0,27,52,lapse,red
40bee49f58,steady-habits-v1,9,2,61,79,recovery,amber
40bee49f58,steady-habits-v1,10,3,63,66,none,amber
40bee49f58,steady-habits-v1,11,1,72,68,none,green
40bee49f58,steady-habits-v1,12,1,57,67,none,amber
de060731b1,steady-habits-v1,1,1,64,76,none,amber
de060731b1,steady-habits-v1,2,3,63,80,none,amber
de060731b1,steady-habits-v1,3,3,68,82,none,green
de060731b1,steady-habits-v1,4,2,78,74,none,amber
de060731b1,steady-habits-v1,5,2,69,73,none,amber
de060731b1,steady-habits-v1,6,1,70,74,none,amber
de060731b1,steady-habits-v1,7,2,62,71,none,amber
de060731b1,steady-habits-v1,8,0,36,53,lapse,red
de060731b1,steady-habits-v1,9,2,61,75,recovery,amber
de060731b1,steady-habits-v1,10,2,61,70,none,amber
de060731b1,steady-habits-v1,11,1,58,75,none,amber
de060731b1,steady-habits-v1,12,1,70,72,none,amber
ad6cd6fe13,steady-habits-v1,1,3,70,74,none,amber
ad6cd6fe13,steady-habits-v1,2,1,61,78,none,amber
ad6cd6fe13,steady-habits-v1,3,2,81,78,none,amber
ad6cd6fe13,steady-habits-v1,4,3,63,79,none,amber
ad6cd6fe13,steady-habits-v1,5,0,38,59,lapse,red
ad6cd6fe13,steady-habits-v1,6,2,81,79,recovery,amber
ad6cd6fe13,steady-habits-v1,7,2,67,69,none,amber
ad6cd6fe13,steady-habits-v1,8,1,50,65,none,amber
ad6cd6fe13,steady-habits-v1,9,3,64,73,none,amber
ad6cd6fe13,steady-habits-v1,10,2,69,73,none,green
ad6cd6fe13,steady-habits-v1,11,2,72,71,none,amber
ad6cd6fe13,steady-habits-v1,12,2,73,64,none,amber
d6e6e70d0b,steady-habits-v1,1,2,66,75,none,amber
d6e6e70d0b,steady-habits-v1,2,2,72,73,none,green
d6e6e70d0b,steady-habits-v1,3,3,75,80,none,amber
d6e6e70d0b,steady-habits-v1,4,2,65,78,none,amber
d6e6e70d0b,steady-habits-v1,5,2,73,79,none,amber
d6e6e70d0b,steady-habits-v1,6,3,67,76,none,amber
d6e6e70d0b,steady-habits-v1,7,2,70,72,none,amber
d6e6e70d0b,steady-habits-v1,8,0,38,50,lapse,red
d6e6e70d0b,steady-habits-v1,9,2,63,74,recovery,amber
d6e6e70d0b,steady-habits-v1,10,2,67,70,none,amber
d6e6e70d0b,steady-habits-v1,11,2,54,73,none,amber
d6e6e70d0b,steady-habits-v1,12,1,55,68,none,amber
2692ed57e2,steady-habits-v1,1,3,66,73,none,amber
2692ed57e2,steady-habits-v1,2,1,64,74,none,amber
2692ed57e2,steady-habits-v1,3,2,61,73,none,amber
2692ed57e2,steady-habits-v1,4,3,73,75,none,green
2692ed57e2,steady-habits-v1,5,2,62,73,none,amber
2692ed57e2,steady-habits-v1,6,1,62,72,none,amber
2692ed57e2,steady-habits-v1,7,2,71,68,none,green
2692ed57e2,steady-habits-v1,8,0,40,48,lapse,red
2692ed57e2,steady-habits-v1,9,1,73,79,recovery,green
2692ed57e2,steady-habits-v1,10,1,74,66,none,amber
2692ed57e2,steady-habits-v1,11,1,60,65,none,amber
2692ed57e2,steady-habits-v1,12,1,68,69,none,amber
3749171155,steady-habits-v2-relapse,1,2,75,80,none,green
3749171155,steady-habits-v2-relapse,2,3,75,80,none,amber
