case_id,type,channel,first_contact_resolution_flag,resolution_days,compensation_band,reopen_flag,vulnerable_flag
ARC-26001,billing_duplicate_bill,phone,0,9,C2,1,0
ARC-26002,outage_major_silence,app,0,12,C3,0,0
ARC-26003,billing_duplicate_bill,phone,1,1,C1,0,1
ARC-26004,reseller_contract_dispute,store,0,14,C2,1,0
ARC-26005,outage_major_silence,sms_callback,1,2,C2,0,0
ARC-26006,billing_wrong_roaming_charge,web_form,0,11,C2,1,0
ARC-26007,vulnerable_access_support,phone,1,1,C1,0,1
ARC-26008,outage_major_silence,phone,0,8.8,C3,0,0
ARC-26009,billing_duplicate_bill,chat,1,2,C1,0,0
ARC-26010,cancellation_penalty_dispute,phone,0,10,C2,0,0
ARC-26011,outage_router_replacement,store,1,3,C1,0,1
ARC-26012,billing_direct_debit_error,phone,0,8.4,C2,0,1
