case_id,channel,decision_days,progress_checks,completion,satisfaction
LEG-001,phone,62,11,0,2
LEG-002,webform,55,9,1,3
LEG-003,phone,51,8,1,3
LEG-004,in_person,58,10,0,2
LEG-005,webform,44,7,1,3
LEG-006,phone,48,8,1,2
LEG-007,email,53,8,0,2
LEG-008,phone,46,7,1,3
LEG-009,webform,41,6,1,3
LEG-010,phone,50,7,0,2
LEG-011,in_person,57,9,0,2
LEG-012,webform,43,6,1,3
LEG-013,phone,47,7,1,3
LEG-014,email,60,10,0,2
LEG-015,webform,45,6,1,3
LEG-016,phone,52,8,0,2
LEG-017,phone,49,7,1,3
LEG-018,in_person,54,9,0,2
LEG-019,webform,42,6,1,4
LEG-020,email,56,8,0,2
LEG-021,phone,50,7,1,3
LEG-022,webform,46,6,1,3
LEG-023,phone,59,10,0,2
LEG-024,webform,44,6,1,3
NEW-001,citizen_account,38,3,1,4
NEW-002,citizen_account,34,2,1,4
NEW-003,assisted_digital,39,3,0,3
NEW-004,citizen_account,31,2,1,5
NEW-005,citizen_account,35,3,1,4
NEW-006,agent_proxy,37,3,1,4
NEW-007,citizen_account,29,2,1,5
NEW-008,citizen_account,33,2,1,4
NEW-009,assisted_digital,41,4,0,3
NEW-010,citizen_account,36,3,1,4
NEW-011,citizen_account,32,2,1,5
NEW-012,agent_proxy,40,3,1,4
NEW-013,citizen_account,34,2,1,4
NEW-014,citizen_account,30,2,1,5
NEW-015,assisted_digital,43,4,0,3
NEW-016,citizen_account,35,3,1,4
NEW-017,citizen_account,31,2,1,5
NEW-018,agent_proxy,38,3,1,4
NEW-019,citizen_account,33,2,1,4
NEW-020,citizen_account,36,3,1,4
NEW-021,assisted_digital,39,3,1,4
NEW-022,citizen_account,34,2,1,5
NEW-023,citizen_account,37,3,1,4
NEW-024,agent_proxy,42,4,0,3
