plant_id,uptime_pct,oee,availability,energy_per_part_kwh,contract_type
DESTAMP12,92.1,61.0,94.0,8.4,reactive_tm
NLMIX09,91.4,59.8,93.3,8.7,reactive_tm
ITPRESS17,92.8,62.2,94.6,8.1,reactive_tm
ALUEXT21,94.8,68.0,96.2,6.9,preventive_sla
ESROLL14,94.4,67.1,95.9,7.1,preventive_sla
FOSINTER11,95.2,68.9,96.5,6.8,preventive_sla
SKAUTO42,97.6,74.0,98.4,6.2,predictive_care
CZAUTO58,97.3,73.2,98.1,6.4,predictive_care
PLAUTO36,97.9,74.8,98.6,6.0,predictive_care
BEAUTO08,98.4,79.0,99.0,5.4,outcome_partner
DEAUTO19,98.1,78.2,98.7,5.6,outcome_partner
ATALUM07,98.7,79.8,99.2,5.2,outcome_partner
