sop_id,run_id,sop_type,team,iteration,pass_fail,artifact_schema_ok,evidence_gate_ok,human_review_min
SOP-RES-PLAN,RUN-001,research,Alpha,1,fail,true,false,52
SOP-SYN-CLUSTER,RUN-002,synthesis,Alpha,1,pass,true,true,46
SOP-BP-CORE,RUN-003,blueprint,Alpha,1,fail,true,false,49
SOP-AUD-STANDARDS,RUN-004,audit,Alpha,1,pass,true,true,29
SOP-RES-PLAN,RUN-005,research,Beta,2,fail,true,false,47
SOP-JRN-BUILD,RUN-006,journey_map,Beta,2,pass,true,true,41
SOP-BP-CORE,RUN-007,blueprint,Beta,2,fail,true,false,43
SOP-PRT-PLAN,RUN-008,prototype,Alpha,2,pass,true,true,35
SOP-SYN-CLUSTER,RUN-009,synthesis,Gamma,3,pass,true,true,38
SOP-JRN-BUILD,RUN-010,journey_map,Beta,3,pass,true,true,34
SOP-BP-CORE,RUN-011,blueprint,Alpha,3,pass,true,true,31
SOP-AUD-STANDARDS,RUN-012,audit,Gamma,3,fail,false,false,40
SOP-RES-PLAN,RUN-013,research,Beta,4,pass,true,true,28
SOP-JRN-BUILD,RUN-014,journey_map,Gamma,4,pass,true,true,26
SOP-BP-CORE,RUN-015,blueprint,Beta,4,pass,true,true,24
SOP-PRT-PLAN,RUN-016,prototype,Gamma,4,fail,true,false,31
SOP-SYN-CLUSTER,RUN-017,synthesis,Alpha,5,pass,true,true,21
SOP-RES-PLAN,RUN-018,research,Gamma,5,pass,true,true,19
SOP-BP-CORE,RUN-019,blueprint,Gamma,5,pass,true,true,18
SOP-AUD-STANDARDS,RUN-020,audit,Beta,5,pass,true,true,16
SOP-JRN-BUILD,RUN-021,journey_map,Alpha,6,pass,true,true,15
SOP-BP-CORE,RUN-022,blueprint,Gamma,6,pass,true,true,14
SOP-PRT-PLAN,RUN-023,prototype,Beta,6,pass,true,true,17
SOP-SYN-CLUSTER,RUN-024,synthesis,Beta,6,pass,true,true,13
