practice_id,phase,ai_hours,human_hours,quality_score,cycle_time_days
sd-2020-baseline,Discover,22,118,72,18
sd-2020-baseline,Define,16,94,74,14
sd-2020-baseline,Develop,12,106,76,21
sd-2020-baseline,Deliver,8,88,78,28
sd-2025-hybrid,Discover,48,82,81,12
sd-2025-hybrid,Define,36,64,83,10
sd-2025-hybrid,Develop,30,72,84,15
sd-2025-hybrid,Deliver,24,58,86,19
sd-2027-ai-native,Discover,74,46,89,7
sd-2027-ai-native,Define,58,38,90,6
sd-2027-ai-native,Develop,52,44,92,9
sd-2027-ai-native,Deliver,46,34,94,11
