stage,count_illustrative,step_conversion,note
careers_visitors,34000,1.00,monthly baseline (illustrative)
browse_roles,30500,0.90,
open_application,28000,0.92,
start_application,25500,0.91,
enter_details,23500,0.92,
upload_documents,22000,0.94,
review_application,20500,0.93,
application_completed,18500,0.90,45% cumulative drop-off vs visitors
interviews_scheduled,6400,0.35,of completed applications
interviews_confirmed,5600,0.88,
offers_sent,3100,0.55,of confirmed interviews
offers_accepted,2850,0.92,
onboarding_completed,2550,0.89,
first_shift_attended,,,NO DATA - documented finding
retained_90_days,,,NO DATA - documented finding
