# ILLUSTRATIVE SAMPLE DATA - synthetic, transformed, and anonymized; not real client data.
# Pilot tracking, two markets (market A live from week 1, market B from week 3, phased).
# Aggregates match the article's pilot results: 0 tickets, 1,000+ completions,
# 100% completion-marking accuracy, survey splits ~85/15, ~44/56, ~58/28/14.
week,market,restaurants_live,new_tickets,completions_cumulative,marking_accuracy_pct,survey_responses,nav_ease_strong_pct,self_directed_strong_pct,found_all_strong_pct,found_all_disagree_pct,marked_complete_yes_pct
1,market_a,18,0,40,100,12,84,42,57,13,100
2,market_a,26,0,95,100,18,85,43,58,14,100
3,market_a,34,0,150,100,25,86,44,58,14,100
4,market_a,41,0,230,100,22,85,44,59,13,100
5,market_a,48,0,320,100,30,86,45,58,14,100
6,market_a,52,0,420,100,35,85,44,57,14,100
7,market_a,55,0,530,100,28,86,45,58,14,100
8,market_a,58,0,650,100,40,85,44,58,14,100
3,market_b,12,0,30,100,10,85,43,57,13,100
4,market_b,18,0,70,100,15,86,44,58,14,100
5,market_b,25,0,120,100,20,85,44,58,14,100
6,market_b,31,0,180,100,18,86,45,57,14,100
7,market_b,36,0,250,100,25,85,44,58,13,100
8,market_b,40,0,330,100,30,86,45,58,14,100
9,market_b,44,0,420,100,28,85,44,58,14,100
10,market_b,47,0,520,100,35,86,44,59,13,100
